"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Inflammatory_Macrophage","Treg","LGALS9","CD44",0.379828046709526,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"Inflammatory_Macrophage","cDC2","LGALS9","CD44",0.26031135430179,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"Inflammatory_Macrophage","Stromal_2","LGALS9","CD44",0.221745848348092,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"Inflammatory_Macrophage","LAMP3_DC","LGALS9","CD44",0.348562874546629,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"Inflammatory_Macrophage","Cycling","LGALS9","CD44",0.315969023108029,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"Inflammatory_Macrophage","Inflammatory_Macrophage","ANXA1","FPR3",0.0689487412975436,0,"ANXA1_FPR3","ANXA1 - FPR3","ANNEXIN","Secreted Signaling","PMID: 33082511"
"Inflammatory_Macrophage","cDC2","ANXA1","FPR3",0.0457758185467877,0,"ANXA1_FPR3","ANXA1 - FPR3","ANNEXIN","Secreted Signaling","PMID: 33082511"
"Inflammatory_Macrophage","Inflammatory_Macrophage","MT-RNR2","FPR3",0.161379057335082,0,"MT-RNR2_FPRL2","MT-RNR2 - FPRL2","ANNEXIN","Secreted Signaling","PMID: 15465011"
"Inflammatory_Macrophage","cDC2","MT-RNR2","FPR3",0.110839505484935,0,"MT-RNR2_FPRL2","MT-RNR2 - FPRL2","ANNEXIN","Secreted Signaling","PMID: 15465011"
"Inflammatory_Macrophage","NK","LGALS9","P4HB",0.109325179375458,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"Inflammatory_Macrophage","CD4_T","LGALS9","P4HB",0.10683699333532,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"Inflammatory_Macrophage","CD8_Cytotoxic","LGALS9","P4HB",0.105499677204315,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"Inflammatory_Macrophage","Inflammatory_Macrophage","LGALS9","P4HB",0.100647783942979,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"Inflammatory_Macrophage","CD8_TRM","LGALS9","P4HB",0.101005580453066,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"Inflammatory_Macrophage","Treg","LGALS9","P4HB",0.0963403669944516,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"Inflammatory_Macrophage","cDC2","LGALS9","P4HB",0.189821084198868,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"Inflammatory_Macrophage","Stromal_1","LGALS9","P4HB",0.100701939387725,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"Inflammatory_Macrophage","Stromal_2","LGALS9","P4HB",0.369042234193028,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"Inflammatory_Macrophage","LAMP3_DC","LGALS9","P4HB",0.105493569563749,0.01,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"Inflammatory_Macrophage","Cycling","LGALS9","P4HB",0.229421092688925,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"Inflammatory_Macrophage","NK","PGE2-PTGES3","PTGER2",0.16481637988182,0,"PGE2-PTGES3_PTGER2","PGE2-PTGES3 - PTGER2","Prostaglandin","Non-protein Signaling","PMID: 34949672;PMID: 21508345"
"Inflammatory_Macrophage","CD8_Cytotoxic","PGE2-PTGES3","PTGER2",0.146527241567402,0,"PGE2-PTGES3_PTGER2","PGE2-PTGES3 - PTGER2","Prostaglandin","Non-protein Signaling","PMID: 34949672;PMID: 21508345"
"Inflammatory_Macrophage","Cycling","PGE2-PTGES3","PTGER2",0.164738327357298,0,"PGE2-PTGES3_PTGER2","PGE2-PTGES3 - PTGER2","Prostaglandin","Non-protein Signaling","PMID: 34949672;PMID: 21508345"
"Inflammatory_Macrophage","NK","PGE2-PTGES3","PTGER4",0.0709913745728986,0,"PGE2-PTGES3_PTGER4","PGE2-PTGES3 - PTGER4","Prostaglandin","Non-protein Signaling","PMID: 34949672;PMID: 21508345"
"Inflammatory_Macrophage","CD4_T","PGE2-PTGES3","PTGER4",0.0680365878754003,0.03,"PGE2-PTGES3_PTGER4","PGE2-PTGES3 - PTGER4","Prostaglandin","Non-protein Signaling","PMID: 34949672;PMID: 21508345"
"Inflammatory_Macrophage","CD8_TRM","PGE2-PTGES3","PTGER4",0.0710100746938601,0,"PGE2-PTGES3_PTGER4","PGE2-PTGES3 - PTGER4","Prostaglandin","Non-protein Signaling","PMID: 34949672;PMID: 21508345"
"Inflammatory_Macrophage","Cycling","PGE2-PTGES3","PTGER4",0.157591534109714,0.03,"PGE2-PTGES3_PTGER4","PGE2-PTGES3 - PTGER4","Prostaglandin","Non-protein Signaling","PMID: 34949672;PMID: 21508345"
"Inflammatory_Macrophage","NK","Cholesterol-LIPA","RORA",0.245586868618945,0,"Cholesterol-Cholesterol-LIPA_RORA","CHOLESTEROL-LIPA - RORA","Cholesterol","Non-protein Signaling","HMRbase;PMID:12467577;PDB:1N83"
"Inflammatory_Macrophage","CD4_T","Cholesterol-LIPA","RORA",0.22385287602827,0,"Cholesterol-Cholesterol-LIPA_RORA","CHOLESTEROL-LIPA - RORA","Cholesterol","Non-protein Signaling","HMRbase;PMID:12467577;PDB:1N83"
"Inflammatory_Macrophage","CD8_Cytotoxic","Cholesterol-LIPA","RORA",0.253376220689427,0,"Cholesterol-Cholesterol-LIPA_RORA","CHOLESTEROL-LIPA - RORA","Cholesterol","Non-protein Signaling","HMRbase;PMID:12467577;PDB:1N83"
"Inflammatory_Macrophage","CD8_TRM","Cholesterol-LIPA","RORA",0.204646339211823,0,"Cholesterol-Cholesterol-LIPA_RORA","CHOLESTEROL-LIPA - RORA","Cholesterol","Non-protein Signaling","HMRbase;PMID:12467577;PDB:1N83"
"Inflammatory_Macrophage","Treg","Cholesterol-LIPA","RORA",0.213452447639842,0,"Cholesterol-Cholesterol-LIPA_RORA","CHOLESTEROL-LIPA - RORA","Cholesterol","Non-protein Signaling","HMRbase;PMID:12467577;PDB:1N83"
"Inflammatory_Macrophage","Stromal_1","Cholesterol-LIPA","RORA",0.0763058201531367,0,"Cholesterol-Cholesterol-LIPA_RORA","CHOLESTEROL-LIPA - RORA","Cholesterol","Non-protein Signaling","HMRbase;PMID:12467577;PDB:1N83"
"Inflammatory_Macrophage","LAMP3_DC","Cholesterol-LIPA","RORA",0.260283921139783,0,"Cholesterol-Cholesterol-LIPA_RORA","CHOLESTEROL-LIPA - RORA","Cholesterol","Non-protein Signaling","HMRbase;PMID:12467577;PDB:1N83"
"Inflammatory_Macrophage","Cycling","Cholesterol-LIPA","RORA",0.227776941441462,0,"Cholesterol-Cholesterol-LIPA_RORA","CHOLESTEROL-LIPA - RORA","Cholesterol","Non-protein Signaling","HMRbase;PMID:12467577;PDB:1N83"
"Inflammatory_Macrophage","Stromal_2","DHEA-STS","ESR1",0.01124276662923,0,"Dehydroepiandrosterone-DHEA-STS_ESR1","DHEA-STS - ESR1","DHEA","Non-protein Signaling","HMRbase"
"Inflammatory_Macrophage","Stromal_1","DHEA-STS","PPARA",0.0508403886500732,0,"Dehydroepiandrosterone-DHEA-STS_PPARA","DHEA-STS - PPARA","DHEA","Non-protein Signaling","HMRbase;PMID:18079279"
"Inflammatory_Macrophage","Stromal_2","DHEA-STS","PPARA",0.00868652354724756,0,"Dehydroepiandrosterone-DHEA-STS_PPARA","DHEA-STS - PPARA","DHEA","Non-protein Signaling","HMRbase;PMID:18079279"
"Inflammatory_Macrophage","Stromal_1","DHEAS-SULT2B","PPARA",0.0554451945405884,0,"DHEAsulfate-DHEAS-SULT2B_PPARA","DHEAS-SULT2B - PPARA","DHEAS","Non-protein Signaling","HMRbase"
"Inflammatory_Macrophage","Stromal_2","DHEAS-SULT2B","PPARA",0.00951155540484265,0,"DHEAsulfate-DHEAS-SULT2B_PPARA","DHEAS-SULT2B - PPARA","DHEAS","Non-protein Signaling","HMRbase"
"Inflammatory_Macrophage","B_Cell","PTPRC","CD22",0.399470126464386,0,"PTPRC_CD22","PTPRC - CD22","CD45","Cell-Cell Contact","PMID: 12115612"
"Inflammatory_Macrophage","NK","CD48","CD244",0.072584603638814,0,"CD48_CD244A","CD48 - CD244A","CD48","Cell-Cell Contact","PMID: 26697006"
"Inflammatory_Macrophage","CD8_Cytotoxic","CD48","CD244",0.0682221052825782,0,"CD48_CD244A","CD48 - CD244A","CD48","Cell-Cell Contact","PMID: 26697006"
"Inflammatory_Macrophage","CD4_T","CD86","CD28",0.0569616645324413,0,"CD86_CD28","CD86 - CD28","CD86","Cell-Cell Contact","PMID: 23954143"
"Inflammatory_Macrophage","Treg","CD86","CD28",0.0683715126096391,0,"CD86_CD28","CD86 - CD28","CD86","Cell-Cell Contact","PMID: 23954143"
"Inflammatory_Macrophage","LAMP3_DC","CD86","CD28",0.0642008098365455,0,"CD86_CD28","CD86 - CD28","CD86","Cell-Cell Contact","PMID: 23954143"
"Inflammatory_Macrophage","Treg","CD86","CTLA4",0.0670816153936643,0,"CD86_CTLA4","CD86 - CTLA4","CD86","Cell-Cell Contact","PMID: 23954143"
